habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
5.0,4.0,5,288,288,6,1388888889.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,686,4000000000.0
4.0,5.0,3,225,225,6,666666667.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,235,1500000000.0
3.0,3.0,2,120,120,6,566666667.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,160,680000000.0
2.0,2.0,1,78,75,5,557692308.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,49,435000000.0
3.0,2.0,1,72,0,3,388888889.0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,124,280000000.0
5.0,3.0,2,170,170,6,1029411765.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,162,1750000000.0
4.0,3.0,2,120,110,5,3332500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,399900000.0
1.0,2.0,1,72,61,5,572222224.0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,299,412000001.0
2.0,1.0,1,50,0,3,3700000.0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,686,185000000.0
1.0,2.0,1,55,55,6,8000000.0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,646,440000000.0
3.0,1.0,0,58,54,3,362068966.0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,333,210000000.0
3.0,3.0,1,90,86,4,477777778.0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,447,430000000.0
2.0,3.0,2,105,0,6,57047619.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,645,599000000.0
3.0,2.0,1,54,54,3,425925926.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,187,230000000.0
3.0,2.0,0,53,0,2,254716981.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,135000000.0
2.0,1.0,0,45,45,3,339555556.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,182,152800000.0
