car_model,price,year_model,kms
Chevrolet Onix 1.0t Automática,$67.000.000,2023,10000
Chevrolet Onix 1.4 Ltz,$50.000.000,2020,29085
Chevrolet Onix 1.0t Mecánica,$50.000.000,2021,44000
Chevrolet Onix 1.4 Ltz 4 p,$49.500.000,2020,28000
Chevrolet Onix 1.0t Mecánica,$57.000.000,2021,72000
Chevrolet Onix 1.4 Ltz Automática,$47.000.000,2017,38000
Chevrolet Onix 1.0t Automática,$61.000.000,2022,15000
Chevrolet Onix 1.4 Ltz 5 p,$45.000.000,2018,65000
Chevrolet Onix 1.0t Mecánica,$56.000.000,2022,25000
Chevrolet Onix 1.4 Ltz 5 p,$46.500.000,2019,39600
Chevrolet Onix 1.4 Ltz Aut,$47.000.000,2019,52600
Chevrolet Onix 1.4 Lt,$54.000.000,2021,65500
Chevrolet Onix 1.4 Ltz,$45.000.000,2018,59876
Chevrolet Onix 1.0T Rs Mt,$66.000.000,2023,21600
